match,selection,category,odds,implied_prob,model_prob,ev,hit,settled
Mexico vs South Africa,Mexico その他(4得点以上),勝利 その他(4+),5.4,0.18518518518518517,0.201,1.0854,0.0,True
Mexico vs South Africa,引き分け 0-0,引き分け 通常(0-0/1-1/2-2),10.2,0.09803921568627452,0.06559999999999999,0.6693,0.0,True
Mexico vs South Africa,Mexico 1-0,勝利 ロースコア(計1-2点),4.5,0.2222222222222222,0.12990000000000002,0.5845,0.0,True
Mexico vs South Africa,引き分け 1-1,引き分け 通常(0-0/1-1/2-2),7.4,0.13513513513513511,0.0779,0.5761,0.0,True
Mexico vs South Africa,Mexico 3-0,勝利 ハイスコア(計3点以上),4.7,0.2127659574468085,0.12050000000000001,0.5663,0.0,True
Mexico vs South Africa,Mexico 2-0,勝利 ロースコア(計1-2点),3.2,0.3125,0.157,0.5023,1.0,True
Mexico vs South Africa,Mexico 2-1,勝利 ハイスコア(計3点以上),4.5,0.2222222222222222,0.0823,0.3701,0.0,True
Mexico vs South Africa,引き分け 2-2,引き分け 通常(0-0/1-1/2-2),15.6,0.06410256410256411,0.0215,0.3362,0.0,True
Mexico vs South Africa,Mexico 3-1,勝利 ハイスコア(計3点以上),5.2,0.1923076923076923,0.06309999999999999,0.3283,0.0,True
Mexico vs South Africa,South Africa 0-1,勝利 ロースコア(計1-2点),13.0,0.07692307692307693,0.0246,0.3196,0.0,True
Mexico vs South Africa,South Africa 1-2,勝利 ハイスコア(計3点以上),14.5,0.06896551724137931,0.0187,0.2714,0.0,True
Mexico vs South Africa,Mexico 3-2,勝利 ハイスコア(計3点以上),14.8,0.06756756756756756,0.0165,0.2448,0.0,True
Mexico vs South Africa,South Africa 0-2,勝利 ロースコア(計1-2点),21.5,0.046511627906976744,0.008100000000000001,0.1747,0.0,True
Mexico vs South Africa,South Africa 2-3,勝利 ハイスコア(計3点以上),38.6,0.025906735751295335,0.0038,0.1453,0.0,True
Mexico vs South Africa,South Africa 1-3,勝利 ハイスコア(計3点以上),41.0,0.024390243902439025,0.0033,0.134,0.0,True
Mexico vs South Africa,引き分け その他(3得点以上),引き分け その他(3+),42.8,0.023364485981308414,0.0031,0.1335,0.0,True
Mexico vs South Africa,South Africa その他(4得点以上),勝利 その他(4+),64.3,0.015552099533437015,0.0017000000000000001,0.1082,0.0,True
Mexico vs South Africa,South Africa 0-3,勝利 ハイスコア(計3点以上),53.9,0.01855287569573284,0.0014000000000000002,0.0765,0.0,True
South Korea vs Czech Republic,South Korea その他(4得点以上),勝利 その他(4+),23.3,0.04291845493562232,0.07,1.63,0.0,True
South Korea vs Czech Republic,South Korea 3-0,勝利 ハイスコア(計3点以上),17.2,0.05813953488372093,0.045700000000000005,0.7869,0.0,True
South Korea vs Czech Republic,引き分け 1-1,引き分け 通常(0-0/1-1/2-2),4.6,0.2173913043478261,0.1321,0.6076,0.0,True
South Korea vs Czech Republic,South Korea 1-0,勝利 ロースコア(計1-2点),5.8,0.1724137931034483,0.10439999999999999,0.6055,0.0,True
South Korea vs Czech Republic,South Korea 3-1,勝利 ハイスコア(計3点以上),12.4,0.08064516129032258,0.0481,0.5962,0.0,True
South Korea vs Czech Republic,South Korea 2-0,勝利 ロースコア(計1-2点),6.1,0.1639344262295082,0.0889,0.5426,0.0,True
South Korea vs Czech Republic,South Korea 2-1,勝利 ハイスコア(計3点以上),5.6,0.17857142857142858,0.0935,0.5235,1.0,True
South Korea vs Czech Republic,引き分け 0-0,引き分け 通常(0-0/1-1/2-2),5.9,0.1694915254237288,0.08560000000000001,0.5052,0.0,True
South Korea vs Czech Republic,South Korea 3-2,勝利 ハイスコア(計3点以上),19.1,0.05235602094240837,0.0253,0.4826,0.0,True
South Korea vs Czech Republic,Czech Republic その他(4得点以上),勝利 その他(4+),21.2,0.04716981132075472,0.0209,0.4437,0.0,True
South Korea vs Czech Republic,引き分け 2-2,引き分け 通常(0-0/1-1/2-2),8.6,0.11627906976744186,0.049100000000000005,0.4225,0.0,True
South Korea vs Czech Republic,Czech Republic 0-1,勝利 ロースコア(計1-2点),5.8,0.1724137931034483,0.0676,0.3922,0.0,True
South Korea vs Czech Republic,Czech Republic 1-2,勝利 ハイスコア(計3点以上),6.0,0.16666666666666666,0.0637,0.3821,0.0,True
South Korea vs Czech Republic,Czech Republic 2-3,勝利 ハイスコア(計3点以上),18.3,0.0546448087431694,0.0172,0.315,0.0,True
South Korea vs Czech Republic,引き分け その他(3得点以上),引き分け その他(3+),31.1,0.03215434083601286,0.0098,0.3051,0.0,True
South Korea vs Czech Republic,Czech Republic 1-3,勝利 ハイスコア(計3点以上),12.5,0.08,0.0223,0.2789,0.0,True
South Korea vs Czech Republic,Czech Republic 0-2,勝利 ロースコア(計1-2点),6.6,0.15151515151515152,0.041299999999999996,0.2724,0.0,True
South Korea vs Czech Republic,Czech Republic 0-3,勝利 ハイスコア(計3点以上),16.8,0.05952380952380952,0.014499999999999999,0.2429,0.0,True
Canada vs Bosnia and Herzegovina,Canada その他(4得点以上),勝利 その他(4+),13.9,0.07194244604316546,0.1411,1.9609,,False
Canada vs Bosnia and Herzegovina,Canada 3-0,勝利 ハイスコア(計3点以上),8.8,0.11363636363636363,0.0962,0.8465,,False
Canada vs Bosnia and Herzegovina,Canada 2-0,勝利 ロースコア(計1-2点),4.1,0.24390243902439027,0.1449,0.594,,False
Canada vs Bosnia and Herzegovina,Canada 3-1,勝利 ハイスコア(計3点以上),9.8,0.1020408163265306,0.0601,0.5892,,False
Canada vs Bosnia and Herzegovina,Canada 1-0,勝利 ロースコア(計1-2点),4.1,0.24390243902439027,0.1373,0.5628,,False
Canada vs Bosnia and Herzegovina,引き分け 1-1,引き分け 通常(0-0/1-1/2-2),5.1,0.19607843137254904,0.09910000000000001,0.5054,,False
Canada vs Bosnia and Herzegovina,引き分け 0-0,引き分け 通常(0-0/1-1/2-2),6.1,0.1639344262295082,0.0812,0.4953,,False
Canada vs Bosnia and Herzegovina,Canada 2-1,勝利 ハイスコア(計3点以上),5.3,0.18867924528301888,0.09050000000000001,0.4799,,False
Canada vs Bosnia and Herzegovina,引き分け 2-2,引き分け 通常(0-0/1-1/2-2),12.5,0.08,0.028300000000000002,0.3537,,False
Canada vs Bosnia and Herzegovina,Canada 3-2,勝利 ハイスコア(計3点以上),18.3,0.0546448087431694,0.018799999999999997,0.3438,,False
Canada vs Bosnia and Herzegovina,Bosnia and Herzegovina 0-1,勝利 ロースコア(計1-2点),6.9,0.14492753623188406,0.0375,0.2584,,False
Canada vs Bosnia and Herzegovina,Bosnia and Herzegovina 1-2,勝利 ハイスコア(計3点以上),7.1,0.14084507042253522,0.028399999999999998,0.2017,,False
Canada vs Bosnia and Herzegovina,引き分け その他(3得点以上),引き分け その他(3+),42.8,0.023364485981308414,0.0042,0.1812,,False
Canada vs Bosnia and Herzegovina,Bosnia and Herzegovina その他(4得点以上),勝利 その他(4+),44.1,0.022675736961451247,0.0034000000000000002,0.1487,,False
Canada vs Bosnia and Herzegovina,Bosnia and Herzegovina 2-3,勝利 ハイスコア(計3点以上),24.6,0.04065040650406504,0.0059,0.145,,False
Canada vs Bosnia and Herzegovina,Bosnia and Herzegovina 0-2,勝利 ロースコア(計1-2点),9.7,0.10309278350515465,0.0143,0.1383,,False
Canada vs Bosnia and Herzegovina,Bosnia and Herzegovina 1-3,勝利 ハイスコア(計3点以上),18.6,0.05376344086021505,0.0059,0.1101,,False
Canada vs Bosnia and Herzegovina,Bosnia and Herzegovina 0-3,勝利 ハイスコア(計3点以上),30.5,0.03278688524590164,0.003,0.0906,,False
United States vs Paraguay,Paraguay その他(4得点以上),勝利 その他(4+),35.2,0.028409090909090908,0.0282,0.9931,,False
United States vs Paraguay,United States その他(4得点以上),勝利 その他(4+),15.8,0.06329113924050632,0.054900000000000004,0.8681,,False
United States vs Paraguay,引き分け 1-1,引き分け 通常(0-0/1-1/2-2),6.1,0.1639344262295082,0.1362,0.8305,,False
United States vs Paraguay,引き分け 0-0,引き分け 通常(0-0/1-1/2-2),7.8,0.12820512820512822,0.0876,0.6835,,False
United States vs Paraguay,Paraguay 0-1,勝利 ロースコア(計1-2点),6.9,0.14492753623188406,0.0766,0.5285,,False
United States vs Paraguay,引き分け 2-2,引き分け 通常(0-0/1-1/2-2),10.2,0.09803921568627452,0.051100000000000007,0.5209,,False
United States vs Paraguay,Paraguay 0-3,勝利 ハイスコア(計3点以上),26.6,0.03759398496240601,0.0194,0.515,,False
United States vs Paraguay,Paraguay 1-3,勝利 ハイスコア(計3点以上),18.3,0.0546448087431694,0.0275,0.5038,,False
United States vs Paraguay,Paraguay 1-2,勝利 ハイスコア(計3点以上),7.0,0.14285714285714285,0.0718,0.5028,,False
United States vs Paraguay,United States 1-0,勝利 ロースコア(計1-2点),4.6,0.2173913043478261,0.0974,0.4479,,False
United States vs Paraguay,Paraguay 2-3,勝利 ハイスコア(計3点以上),22.4,0.044642857142857144,0.0196,0.4385,,False
United States vs Paraguay,引き分け その他(3得点以上),引き分け その他(3+),40.3,0.02481389578163772,0.0103,0.4148,,False
United States vs Paraguay,Paraguay 0-2,勝利 ロースコア(計1-2点),7.9,0.12658227848101264,0.050499999999999996,0.399,,False
United States vs Paraguay,United States 2-1,勝利 ハイスコア(計3点以上),4.4,0.22727272727272727,0.0888,0.3908,,False
United States vs Paraguay,United States 2-0,勝利 ロースコア(計1-2点),4.7,0.2127659574468085,0.07719999999999999,0.363,,False
United States vs Paraguay,United States 3-1,勝利 ハイスコア(計3点以上),8.3,0.12048192771084336,0.0421,0.3494,,False
United States vs Paraguay,United States 3-0,勝利 ハイスコア(計3点以上),9.2,0.10869565217391305,0.0366,0.3368,,False
United States vs Paraguay,United States 3-2,勝利 ハイスコア(計3点以上),13.9,0.07194244604316546,0.0242,0.3365,,False
