Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,000 JPY)"
Spain 1-0,6.8,10.54,0.7169,0.0,0.0
引き分け 0-0,13.8,4.62,0.6377,0.0,0.0
引き分け 1-1,9.8,6.1,0.5982,0.0,0.0
Spain 2-0,4.0,14.82,0.5928,0.0,0.0
Spain その他(4得点以上),1.9,28.19,0.5356,0.0,0.0
Spain 3-0,3.7,13.25,0.4904,0.0,0.0
Spain 2-1,6.2,7.51,0.4658,0.0,0.0
引き分け 2-2,19.5,1.9,0.3714,0.0,0.0
Spain 3-1,5.0,6.72,0.336,0.0,0.0
Spain 3-2,18.6,1.7,0.3168,0.0,0.0
Saudi Arabia 0-1,17.8,1.58,0.2818,0.0,0.0
Saudi Arabia 1-2,19.5,1.42,0.2768,0.0,0.0
引き分け その他(3得点以上),78.5,0.31,0.2463,0.0,0.0
Saudi Arabia 0-2,41.2,0.53,0.218,0.0,0.0
Saudi Arabia 2-3,64.2,0.32,0.2066,0.0,0.0
Saudi Arabia 1-3,73.6,0.24,0.1766,0.0,0.0
Saudi Arabia その他(4得点以上),115.0,0.14,0.1553,0.0,0.0
Saudi Arabia 0-3,97.7,0.09,0.0874,0.0,0.0
