team,odds,model_prob_%,implied_%,EV,half_kelly_%
Canada,353.2,2.26,0.28,7.982,0.9900000000000001
Colombia,56.5,5.87,1.77,3.317,2.09
Algeria,563.6,0.41,0.18,2.311,0.12
Switzerland,154.5,1.37,0.65,2.117,0.36
Iran,476.4,0.43,0.21,2.049,0.11
Turkey,207.9,0.95,0.48,1.975,0.24
Austria,463.5,0.35,0.22,1.622,0.06999999999999999
Ecuador,84.6,1.84,1.18,1.557,0.33
Australia,584.4,0.26,0.17,1.519,0.04
Mexico,37.5,3.97,2.67,1.489,0.67
South Korea,356.9,0.26,0.28,0.928,0.0
Panama,996.5,0.09,0.1,0.897,0.0
Paraguay,303.3,0.26,0.33,0.789,0.0
Spain,3.3,23.04,30.3,0.76,0.0
Uruguay,53.9,1.21,1.86,0.652,0.0
Argentina,5.5,11.83,18.18,0.651,0.0
Uzbekistan,699.3,0.08,0.14,0.559,0.0
Egypt,366.4,0.14,0.27,0.513,0.0
England,5.1,9.94,19.61,0.507,0.0
Brazil,5.8,8.34,17.24,0.484,0.0
Belgium,21.9,2.05,4.57,0.449,0.0
Scotland,490.0,0.09,0.2,0.441,0.0
United States,43.0,0.86,2.33,0.37,0.0
Senegal,107.0,0.34,0.93,0.364,0.0
Czech Republic,531.6,0.06,0.19,0.319,0.0
Netherlands,11.0,2.9,9.09,0.319,0.0
DR Congo,1001.4,0.03,0.1,0.3,0.0
France,3.1,9.63,32.26,0.299,0.0
Morocco,19.8,1.51,5.05,0.299,0.0
Germany,10.2,2.82,9.8,0.288,0.0
Tunisia,713.8,0.03,0.14,0.214,0.0
Norway,19.2,1.03,5.21,0.198,0.0
Japan,10.4,1.66,9.62,0.173,0.0
Croatia,32.7,0.52,3.06,0.17,0.0
Portugal,4.8,3.44,20.83,0.165,0.0
Ivory Coast,163.3,0.08,0.61,0.131,0.0
Cape Verde,987.0,0.01,0.1,0.099,0.0
Iraq,946.3,0.01,0.11,0.095,0.0
Saudi Arabia,713.8,0.01,0.14,0.071,0.0
Sweden,157.8,0.02,0.63,0.032,0.0
Bosnia and Herzegovina,661.2,0.0,0.15,0.0,0.0
South Africa,716.3,0.0,0.14,0.0,0.0
Qatar,781.4,0.0,0.13,0.0,0.0
New Zealand,877.8,0.0,0.11,0.0,0.0
Jordan,991.8,0.0,0.1,0.0,0.0
Curaçao,640.6,0.0,0.16,0.0,0.0
Ghana,540.0,0.0,0.19,0.0,0.0
Haiti,1021.2,0.0,0.1,0.0,0.0
