Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 100,300 JPY)"
引き分け 0-0,7.3,11.17,0.8154,0.0,0.0
Mexico その他(4得点以上),39.1,1.86,0.727,0.0,0.0
England 0-1,5.8,11.8,0.6845,0.0,0.0
England その他(4得点以上),16.0,4.22,0.6758,0.0,0.0
引き分け 1-1,4.6,14.21,0.6538,0.0,0.0
Mexico 1-0,6.6,8.87,0.5856,0.0,0.0
England 0-2,6.2,8.42,0.5221,0.0,0.0
England 0-3,14.0,3.64,0.5101,0.0,0.0
Mexico 3-0,26.1,1.69,0.4414,0.0,0.0
Mexico 2-0,8.5,5.05,0.4291,0.0,0.0
Mexico 2-1,6.0,6.55,0.3931,0.0,0.0
England 1-2,4.6,8.46,0.3893,0.0,0.0
Mexico 3-1,15.3,2.2,0.3358,0.0,0.0
England 1-3,9.0,3.66,0.3295,0.0,0.0
引き分け 2-2,7.3,4.25,0.3104,0.0,0.0
Mexico 3-2,17.9,1.42,0.255,0.0,0.0
England 2-3,13.7,1.84,0.2521,0.0,0.0
引き分け その他(3得点以上),29.7,0.67,0.1988,0.0,0.0
