Selection,Odds,Probability(%),Expected Value (EV),Half-Kelly Fraction,"Recommended Stake (Bankroll: 95,700 JPY)"
Belgium その他(4得点以上),13.0,7.61,0.9892,0.0,0.0
United States その他(4得点以上),21.5,4.05,0.8712,0.0,0.0
引き分け 1-1,6.0,12.47,0.7484,0.0,0.0
Belgium 0-1,7.6,7.76,0.5897,0.0,0.0
引き分け 0-0,9.0,6.53,0.5874,0.0,0.0
Belgium 0-3,14.0,3.75,0.5244,0.0,0.0
Belgium 1-2,5.5,9.15,0.5032,0.0,0.0
Belgium 0-2,7.0,7.03,0.4919,0.0,0.0
United States 1-0,7.4,6.13,0.4534,0.0,0.0
United States 2-1,5.7,7.45,0.4246,0.0,0.0
United States 3-0,19.8,2.02,0.4004,0.0,0.0
Belgium 1-3,8.2,4.88,0.3999,0.0,0.0
引き分け 2-2,6.6,5.96,0.3931,0.0,0.0
United States 3-1,11.6,3.23,0.3751,0.0,0.0
Belgium 2-3,10.6,3.17,0.3365,0.0,0.0
United States 2-0,7.1,4.66,0.3308,0.0,0.0
United States 3-2,12.6,2.58,0.3257,0.0,0.0
引き分け その他(3得点以上),20.6,1.57,0.324,0.0,0.0
