k_scale,home_adv,brier,log_loss
0.6,50,0.13752882091170668,0.5072239143735823
0.6,75,0.13609441876485479,0.5010783905780306
0.6,100,0.13582545641489202,0.4974813427951533
0.6,125,0.13662640684839875,0.49634854270450696
0.6,150,0.1383725150127822,0.49757408681110454
0.8,50,0.1364926735829921,0.5002364853026148
0.8,75,0.13501669438632558,0.49405046761230914
0.8,100,0.13465977723683084,0.4903585136053262
0.8,125,0.13533079396952932,0.48907605441162644
0.8,150,0.13691004527150122,0.4900966457341832
1.0,50,0.13606368149435205,0.495913679599349
1.0,75,0.1345532572216404,0.4896913523919149
1.0,100,0.13412786356583797,0.4859288983909389
1.0,125,0.13469962334099106,0.48454104795181296
1.0,150,0.13615253276344116,0.48542031877906683
1.2,50,0.13599628725258858,0.4932132985425223
1.2,75,0.1344555748060853,0.4869558120909751
1.2,100,0.13397315781697963,0.4831364136349829
1.2,125,0.1344637545822198,0.4816689661901554
1.2,150,0.135814250307966,0.4824446852951646
1.4,50,0.13616336941698284,0.49159180592628104
1.4,75,0.13459492789733662,0.485298584714178
1.4,100,0.13406285389274986,0.481429973902487
1.4,125,0.13448406044126168,0.4798988898405246
1.4,150,0.13574779739257897,0.4805950980362654
